number,name,name_origin,link,score,quote
52,教父2,?/?The Godfather: Part Ⅱ,https://movie.douban.com/subject/1299131/,9.2,优雅的孤独。
53,指环王1：魔戒再现,?/?The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/1291571/,9,传说的开始。
54,狮子王,?/?The Lion King,https://movie.douban.com/subject/1301753/,9,动物版《哈姆雷特》。
55,V字仇杀队,?/?V for Vendetta,https://movie.douban.com/subject/1309046/,8.9,一张面具背后的理想与革命。
56,美丽心灵,?/?A Beautiful Mind,https://movie.douban.com/subject/1306029/,9,爱是一切逻辑和原由。
57,饮食男女,?/?飲食男女,https://movie.douban.com/subject/1291818/,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
58,海豚湾,?/?The Cove,https://movie.douban.com/subject/3442220/,9.3,海豚的微笑，是世界上最高明的伪装。
59,情书,?/?Love Letter,https://movie.douban.com/subject/1292220/,8.9,暗恋的极致。
60,钢琴家,?/?The Pianist,https://movie.douban.com/subject/1296736/,9.1,音乐能化解仇恨。
61,大闹天宫,?/?大闹天宫 上下集  /  The Monkey King,https://movie.douban.com/subject/1418019/,9.3,经典之作，历久弥新。
62,本杰明·巴顿奇事,?/?The Curious Case of Benjamin Button,https://movie.douban.com/subject/1485260/,8.9,在时间之河里感受溺水之苦。
63,何以为家,?/?????????,https://movie.douban.com/subject/30170448/,9.1,凝视卑弱生命，用电影改变命运。
64,哈利·波特与魔法石,?/?Harry Potter and the Sorcerer's Stone,https://movie.douban.com/subject/1295038/,8.9,童话世界的开端。
65,看不见的客人,?/?Contratiempo,https://movie.douban.com/subject/26580232/,8.8,你以为你以为的就是你以为的。
66,黑客帝国,?/?The Matrix,https://movie.douban.com/subject/1291843/,8.9,视觉革命。
67,西西里的美丽传说,?/?Malèna,https://movie.douban.com/subject/1292402/,8.8,美丽无罪。
68,小鞋子,?/??????? ?????,https://movie.douban.com/subject/1303021/,9.2,奔跑的孩子是天使。
69,美国往事,?/?Once Upon a Time in America,https://movie.douban.com/subject/1292262/,9.1,往事如烟，无处祭奠。
70,拯救大兵瑞恩,?/?Saving Private Ryan,https://movie.douban.com/subject/1292849/,9,美利坚精神输出大片No1.
71,让子弹飞,?/?让子弹飞一会儿  /  火烧云,https://movie.douban.com/subject/3742360/,8.8,你给我翻译翻译，神马叫做TMD的惊喜。
72,音乐之声,?/?The Sound of Music,https://movie.douban.com/subject/1294408/,9,用音乐化解仇恨，让歌声串起美好。
73,致命魔术,?/?The Prestige,https://movie.douban.com/subject/1780330/,8.8,孪生蝙蝠侠大战克隆金刚狼。
74,七宗罪,?/?Se7en,https://movie.douban.com/subject/1292223/,8.8,警察抓小偷，老鼠玩死猫。
75,猫鼠游戏,?/?Catch Me If You Can,https://movie.douban.com/subject/1305487/,8.9,骗子大师和执著警探的你追我跑故事。 
76,被嫌弃的松子的一生,?/?嫌われ松子の一生,https://movie.douban.com/subject/1787291/,8.9,以戏谑来戏谑戏谑。
77,低俗小说,?/?Pulp Fiction,https://movie.douban.com/subject/1291832/,8.8,故事的高级讲法。
78,沉默的羔羊,?/?The Silence of the Lambs,https://movie.douban.com/subject/1293544/,8.8,安东尼·霍普金斯的顶级表演。
79,蝴蝶效应,?/?The Butterfly Effect,https://movie.douban.com/subject/1292343/,8.8,人的命运被自己瞬间的抉择改变。
80,春光乍泄,?/?春光乍洩,https://movie.douban.com/subject/1292679/,8.9,爱情纠缠，男女一致。
81,勇敢的心,?/?Braveheart,https://movie.douban.com/subject/1294639/,8.9,史诗大片的典范。
82,天使爱美丽,?/?Le fabuleux destin d'Amélie Poulain,https://movie.douban.com/subject/1292215/,8.7,法式小清新。 
83,穿条纹睡衣的男孩,?/?The Boy in the Striped Pajamas,https://movie.douban.com/subject/3008247/,9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
84,剪刀手爱德华,?/?Edward Scissorhands,https://movie.douban.com/subject/1292370/,8.7,浪漫忧郁的成人童话。
85,心灵捕手,?/?Good Will Hunting,https://movie.douban.com/subject/1292656/,8.8,人生中应该拥有这样的一段豁然开朗。
86,禁闭岛,?/?Shutter Island,https://movie.douban.com/subject/2334904/,8.8,昔日翩翩少年，今日大腹便便。
87,布达佩斯大饭店,?/?The Grand Budapest Hotel,https://movie.douban.com/subject/11525673/,8.8,小清新的故事里注入了大历史的情怀。
88,阿凡达,?/?Avatar,https://movie.douban.com/subject/1652587/,8.7,绝对意义上的美轮美奂。
89,入殓师,?/?おくりびと,https://movie.douban.com/subject/2149806/,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
90,幽灵公主,?/?もののけ姫,https://movie.douban.com/subject/1297359/,8.9,人与自然的战争史诗。
91,加勒比海盗,?/?Pirates of the Caribbean: The Curse of the Black Pearl,https://movie.douban.com/subject/1298070/,8.7,约翰尼·德普的独角戏。
92,摩登时代,?/?Modern Times,https://movie.douban.com/subject/1294371/,9.3,大时代中的人生，小人物的悲喜。
93,致命ID,?/?Identity,https://movie.douban.com/subject/1297192/,8.7,最不可能的那个人永远是最可能的。
94,断背山,?/?Brokeback Mountain,https://movie.douban.com/subject/1418834/,8.7,每个人心中都有一座断背山。
95,阳光灿烂的日子,?/?In the Heat of the Sun,https://movie.douban.com/subject/1291875/,8.8,一场华丽的意淫。
96,重庆森林,?/?重慶森林,https://movie.douban.com/subject/1291999/,8.7,寂寞没有期限。
97,第六感,?/?The Sixth Sense,https://movie.douban.com/subject/1297630/,8.8,深入内心的恐怖，出人意料的结局。
98,狩猎,?/?Jagten,https://movie.douban.com/subject/6985810/,9.1,人言可畏。
99,喜剧之王,?/?喜劇之王,https://movie.douban.com/subject/1302425/,8.7,我是一个演员。
100,玛丽和马克思,?/?Mary and Max,https://movie.douban.com/subject/3072124/,8.9,你是我最好的朋友，你是我唯一的朋友 。
101,消失的爱人,?/?Gone Girl,https://movie.douban.com/subject/21318488/,8.7,年度最佳date movie。
102,告白,?/?自白  /  母亲,https://movie.douban.com/subject/4268598/,8.7,没有一人完全善，也没有一人完全恶。
103,大鱼,?/?Big Fish,https://movie.douban.com/subject/1291545/,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
104,小森林 夏秋篇,?/?リトル?フォレスト 夏?秋,https://movie.douban.com/subject/25814705/,9,那些静得只能听见呼吸的日子里，你明白孤独即生活。
105,一一,?/?Yi yi  /  Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/,9,我们都曾经是一一。
106,阳光姐妹淘,?/???,https://movie.douban.com/subject/4917726/,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
107,爱在黎明破晓前,?/?Before Sunrise,https://movie.douban.com/subject/1296339/,8.8,缘分是个连绵词，最美不过一瞬。
108,请以你的名字呼唤我,?/?Call Me by Your Name,https://movie.douban.com/subject/26799731/,8.8,沉醉在电影的情感和视听氛围中无法自拔。
109,射雕英雄传之东成西就,?/?射鵰英雄傳之東成西就,https://movie.douban.com/subject/1316510/,8.7,百看不厌。 
110,甜蜜蜜,?/?Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/,8.8,相逢只要一瞬间，等待却像是一辈子。
111,侧耳倾听,?/?耳をすませば,https://movie.douban.com/subject/1297052/,8.9,少女情怀总是诗。
112,红辣椒,?/?パプリカ,https://movie.douban.com/subject/1865703/,8.9,梦的勾结。
113,驯龙高手,?/?How to Train Your Dragon,https://movie.douban.com/subject/2353023/,8.7,和谐的生活离不开摸头与被摸头。
114,倩女幽魂,?/?倩女幽魂(87版)  /  倩女幽魂：妖魔道,https://movie.douban.com/subject/1297447/,8.7,两张绝世的脸。 
115,超脱,?/?Detachment,https://movie.douban.com/subject/5322596/,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。
116,恐怖直播,?/?? ?? ???,https://movie.douban.com/subject/21360417/,8.7,恐怖分子的“秋菊打官司”。
117,菊次郎的夏天,?/?菊次郎の夏,https://movie.douban.com/subject/1293359/,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
118,爱在日落黄昏时,?/?Before Sunset,https://movie.douban.com/subject/1291990/,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
119,风之谷,?/?風の谷のナウシカ,https://movie.douban.com/subject/1291585/,8.8,动画片的圣经。
120,小森林 冬春篇,?/?リトル?フォレスト 冬?春,https://movie.douban.com/subject/25814707/,9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
121,7号房的礼物,?/?7??? ??,https://movie.douban.com/subject/10777687/,8.8,《我是山姆》的《美丽人生》。
122,杀人回忆,?/???? ??,https://movie.douban.com/subject/1300299/,8.8,关于连环杀人悬案的集体回忆。
123,哈利·波特与死亡圣器(下),?/?Harry Potter and the Deathly Hallows: Part 2,https://movie.douban.com/subject/3011235/,8.7,10年的完美句点。
124,海蒂和爷爷,?/?Heidi,https://movie.douban.com/subject/25958717/,9.1,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
125,幸福终点站,?/?The Terminal,https://movie.douban.com/subject/1292274/,8.7,有时候幸福需要等一等。 
126,蝙蝠侠：黑暗骑士崛起,?/?The Dark Knight Rises,https://movie.douban.com/subject/3395373/,8.7,诺兰就是保证。
127,上帝之城,?/?Cidade de Deus,https://movie.douban.com/subject/1292208/,8.9,被上帝抛弃了的上帝之城。
128,借东西的小人阿莉埃蒂,?/?借りぐらしのアリエッティ,https://movie.douban.com/subject/4202302/,8.8,曾经的那段美好会沉淀为一辈子的记忆。
129,萤火之森,?/?蛍火の杜へ,https://movie.douban.com/subject/5989818/,8.8,触不到的恋人。
130,超能陆战队,?/?Big Hero 6,https://movie.douban.com/subject/11026735/,8.6,Balalala~~~
131,唐伯虎点秋香,?/?唐伯虎點秋香,https://movie.douban.com/subject/1306249/,8.5,华太师是黄霑，吴镇宇四大才子之一。
132,神偷奶爸,?/?Despicable Me,https://movie.douban.com/subject/3287562/,8.5,Mr. I Don't Care其实也有Care的时候。
133,无人知晓,?/?誰も知らない,https://movie.douban.com/subject/1292337/,9.1,我的平常生活就是他人的幸福。
134,怪兽电力公司,"?/?Monsters, Inc.",https://movie.douban.com/subject/1291579/,8.6,不要给它起名字，起了名字就有感情了。
135,我不是药神,?/?中国药神  /  印度药神,https://movie.douban.com/subject/26752088/,9, 
136,电锯惊魂,?/?Saw,https://movie.douban.com/subject/1417598/,8.7,真相就在眼前。
137,岁月神偷,?/?歲月神偷,https://movie.douban.com/subject/3792799/,8.7,岁月流逝，来日可追。
138,玩具总动员3,?/?Toy Story 3,https://movie.douban.com/subject/1858711/,8.8,跨度十五年的欢乐与泪水。
139,谍影重重3,?/?The Bourne Ultimatum,https://movie.douban.com/subject/1578507/,8.8,像吃了苏打饼一样干脆的电影。
140,血战钢锯岭,?/?Hacksaw Ridge,https://movie.douban.com/subject/26325320/,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
141,疯狂原始人,?/?The Croods,https://movie.douban.com/subject/1907966/,8.7,老少皆宜，这就是好莱坞动画的魅力。
142,七武士,?/?七人の侍,https://movie.douban.com/subject/1295399/,9.2,时代悲歌。
143,喜宴,?/?囍宴,https://movie.douban.com/subject/1303037/,8.9,中国家庭的喜怒哀乐忍。
144,英雄本色,?/?A Better Tomorrow  /  Gangland Boss,https://movie.douban.com/subject/1297574/,8.7,英雄泪短，兄弟情长。 
145,真爱至上,?/?Love Actually,https://movie.douban.com/subject/1292401/,8.6,爱，是个动词。
146,东邪西毒,?/?東邪西毒,https://movie.douban.com/subject/1292328/,8.6,电影诗。
147,萤火虫之墓,?/?火垂るの墓,https://movie.douban.com/subject/1293318/,8.7,幸福是生生不息，却难以触及的远。 
148,傲慢与偏见,?/?Pride & Prejudice,https://movie.douban.com/subject/1418200/,8.5,爱是摈弃傲慢与偏见之后的曙光。
149,时空恋旅人,?/?About Time,https://movie.douban.com/subject/10577869/,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
150,贫民窟的百万富翁,?/?Slumdog Millionaire,https://movie.douban.com/subject/2209573/,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
151,黑天鹅,?/?Black Swan,https://movie.douban.com/subject/1978709/,8.5,黑暗之美。
152,记忆碎片,?/?Memento,https://movie.douban.com/subject/1304447/,8.6,一个针管引发的血案。
153,心迷宫,?/?殡棺  /  The Coffin in the Mountain,https://movie.douban.com/subject/25917973/,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
154,纵横四海,?/?緃横四海,https://movie.douban.com/subject/1295409/,8.8,香港浪漫主义警匪动作片的巅峰之作。
155,教父3,?/?The Godfather: Part III,https://movie.douban.com/subject/1294240/,8.8,任何信念的力量，都无法改变命运。
156,荒蛮故事,?/?Relatos salvajes,https://movie.douban.com/subject/24750126/,8.8,始于荒诞，止于更荒诞。
157,完美的世界,?/?A Perfect World,https://movie.douban.com/subject/1300992/,9.1,坏人的好总是比好人的好来得更感人。
158,达拉斯买家俱乐部,?/?Dallas Buyers Club,https://movie.douban.com/subject/1793929/,8.7,Jared Leto的腿比女人还美！
159,雨人,?/?Rain Man,https://movie.douban.com/subject/1291870/,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
160,花样年华,?/?花樣年華,https://movie.douban.com/subject/1291557/,8.6,偷情本没有这样美。
161,三块广告牌,"?/?Three Billboards Outside Ebbing, Missouri",https://movie.douban.com/subject/26611804/,8.7,怼天怼地，你走后，她与世界为敌。
162,被解救的姜戈,?/?Django Unchained,https://movie.douban.com/subject/6307447/,8.7,热血沸腾，那个低俗、性感的无耻混蛋又来了。
163,卢旺达饭店,?/?Hotel Rwanda,https://movie.douban.com/subject/1291822/,8.9,当这个世界闭上双眼，他却敞开了怀抱。
164,海边的曼彻斯特,?/?Manchester by the Sea,https://movie.douban.com/subject/25980443/,8.6,我们都有权利不与自己的过去和解。
165,你的名字。,?/?君の名は。,https://movie.douban.com/subject/26683290/,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
166,头脑特工队,?/?Inside Out,https://movie.douban.com/subject/10533913/,8.7,愿我们都不用长大，每一座城堡都能永远存在。
167,你看起来好像很好吃,?/?おまえうまそうだな,https://movie.douban.com/subject/4848115/,8.8,感情不分食草或者食肉。
168,我是山姆,?/?I Am Sam,https://movie.douban.com/subject/1306861/,8.9,爱并不需要智商 。
169,恋恋笔记本,?/?The Notebook,https://movie.douban.com/subject/1309163/,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
170,无敌破坏王,?/?Wreck-It Ralph,https://movie.douban.com/subject/6534248/,8.7,迪士尼和皮克斯拿错剧本的产物。
171,虎口脱险,?/?La grande vadrouille,https://movie.douban.com/subject/1296909/,8.9,永远看不腻的喜剧。
172,冰川时代,?/?Ice Age,https://movie.douban.com/subject/1291578/,8.5,松鼠才是角儿。
173,二十二,?/?Twenty Two  /  22,https://movie.douban.com/subject/26430107/,8.7,有一些东西不应该被遗忘。
174,海洋,?/?Océans,https://movie.douban.com/subject/3443389/,9,大海啊，不全是水。
175,哪吒闹海,?/?Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,https://movie.douban.com/subject/1307315/,9,想你时你在闹海。
176,雨中曲,?/?Singin' in the Rain,https://movie.douban.com/subject/1293460/,9,骨灰级歌舞片。
177,爆裂鼓手,?/?Whiplash,https://movie.douban.com/subject/25773932/,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
178,未麻的部屋,?/?Perfect Blue,https://movie.douban.com/subject/1395091/,8.9,好的剧本是，就算你猜到了结局也猜不到全部。
179,模仿游戏,?/?The Imitation Game,https://movie.douban.com/subject/10463953/,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
180,一个叫欧维的男人决定去死,?/?En man som heter Ove,https://movie.douban.com/subject/26628357/,8.8,惠及一生的美丽。
181,燃情岁月,?/?Legends of the Fall,https://movie.douban.com/subject/1295865/,8.8,传奇，不是每个人都可以拥有。
182,忠犬八公物语,?/?ハチ公物語,https://movie.douban.com/subject/1959195/,9.1,养狗三日，便会对你终其一生。
183,人工智能,?/?Artificial Intelligence: AI,https://movie.douban.com/subject/1302827/,8.6,对爱的执着，可以超越一切。
184,魔女宅急便,?/?魔女の宅急便,https://movie.douban.com/subject/1307811/,8.6,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
185,房间,?/?Room,https://movie.douban.com/subject/25724855/,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
186,穿越时空的少女,?/?時をかける少女,https://movie.douban.com/subject/1937946/,8.6,爱上未来的你。 
187,魂断蓝桥,?/?Waterloo Bridge,https://movie.douban.com/subject/1293964/,8.8,中国式内在的美国电影。
188,天书奇谭,?/?The Legend of Sealed Book  /  Secrets of the Heavenly Book,https://movie.douban.com/subject/1428581/,9.1,传奇的年代，醉人的童话。
189,恐怖游轮,?/?Triangle,https://movie.douban.com/subject/3011051/,8.4,不要企图在重复中寻找已经失去的爱。
190,海街日记,?/?海街diary,https://movie.douban.com/subject/25895901/,8.7,是枝裕和的家庭习作。
191,黑客帝国3：矩阵革命,?/?The Matrix Revolutions,https://movie.douban.com/subject/1302467/,8.7,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
192,猜火车,?/?Trainspotting,https://movie.douban.com/subject/1292528/,8.5,不可猜的青春迷笛。 
193,完美陌生人,?/?Perfetti sconosciuti,https://movie.douban.com/subject/26614893/,8.5,来啊，互相伤害啊！
194,罗生门,?/?羅生門,https://movie.douban.com/subject/1291879/,8.8,人生的N种可能性。
195,阿飞正传,?/?阿飛正傳,https://movie.douban.com/subject/1305690/,8.5,王家卫是一种风格，张国荣是一个代表。
196,香水,?/?Perfume: The Story of a Murderer,https://movie.douban.com/subject/1760622/,8.5,一个单凭体香达到高潮的男人。
197,可可西里,?/?Kekexili: Mountain Patrol,https://movie.douban.com/subject/1308857/,8.7,坚硬的信仰。
198,朗读者,?/?The Reader,https://movie.douban.com/subject/2213597/,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
199,头号玩家,?/?Ready Player One,https://movie.douban.com/subject/4920389/,8.7,写给影迷，动漫迷和游戏迷的一封情书。
200,浪潮,?/?Die Welle,https://movie.douban.com/subject/2297265/,8.7,世界离独裁只有五天。
201,谍影重重2,?/?The Bourne Supremacy,https://movie.douban.com/subject/1308767/,8.6,谁说王家卫镜头很晃？
202,谍影重重,?/?The Bourne Identity,https://movie.douban.com/subject/1304102/,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
203,牯岭街少年杀人事件,?/?牯嶺街少年殺人事件,https://movie.douban.com/subject/1292329/,8.8,弱者送给弱者的一刀。
204,功夫,?/?功夫3D  /  Kung Fu Hustle,https://movie.douban.com/subject/1291543/,8.4,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
205,战争之王,?/?Lord of War,https://movie.douban.com/subject/1419936/,8.6,做一颗让别人需要你的棋子。
206,地球上的星星,?/?Taare Zameen Par,https://movie.douban.com/subject/2363506/,8.9,天使保护事件始末。
207,疯狂的石头,?/?Crazy Stone,https://movie.douban.com/subject/1862151/,8.4,中国版《两杆大烟枪》。
208,初恋这件小事,?/????????????????????????...???,https://movie.douban.com/subject/4739952/,8.3,黑小鸭速效美白记。
209,青蛇,?/?Green Snake,https://movie.douban.com/subject/1303394/,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
210,惊魂记,?/?Psycho,https://movie.douban.com/subject/1293181/,8.9,故事的反转与反转，分裂电影的始祖。
